phi,m_glycine
0.9554,0.2174
0.9554,0.2178
0.9460,0.3075
0.9460,0.3078
0.9341,0.5175
0.9340,0.5178
0.9302,0.6241
0.9302,0.6251
0.9219,0.8654
0.9219,0.8647
0.9166,1.1931
0.9166,1.1942
