phi,m_glycine
0.9872,0.2037
0.9873,0.2030
0.9781,0.3379
0.9781,0.3388
0.9659,0.5350
0.9660,0.5346
0.9538,0.7501
0.9539,0.7489
0.9483,0.8540
0.9483,0.8547
0.9384,1.0444
0.9384,1.0451
