phi,m_glycine
0.974,0.0057
0.995,0.0804
1.004,0.1339
0.974,0.1997
0.968,0.2980
0.968,0.4345
0.929,0.7615
0.933,0.9050
0.931,1.0554
0.919,1.3546
0.910,2.0406
0.901,2.5995
0.903,2.8663
0.908,3.1509
