aw,c_m_sucrose
0.998,0.0250
0.995,0.0490
0.994,0.0497
0.989,0.0960
0.989,0.0992
0.985,0.1422
0.978,0.1863
0.971,0.2291
0.965,0.2749
0.954,0.2966
0.942,0.3501
0.930,0.3997
0.912,0.4519
0.891,0.4985
0.837,0.5936
