aw,c_m_fructose,c_m_glucose,c_m_sucrose
0.983,0.06295764,0.014853249999999998,0.02288911
0.971,0.12722819999999999,0.030016249999999998,0.04625555
0.956,0.18668471999999997,0.04404349999999999,0.06787177999999999
0.933,0.24970488,0.05891149999999999,0.09078362
0.899,0.3116622,0.07352874999999999,0.11330905
0.843,0.37443228,0.08833774999999999,0.13612997
