phi,m_glycine
0.9815,0.2274
0.9810,0.2276
0.9767,0.3213
0.9764,0.3214
0.9583,0.5417
0.9583,0.5417
0.9461,0.7869
0.9450,0.7878
0.9442,0.8048
0.9432,0.8059
0.9297,1.1393
0.9295,1.1397
