phi,m_dl_alpha_aminobutyric_acid
0.9642,0.2194
0.9642,0.2191
0.9569,0.3053
0.9569,0.3055
0.9530,0.5082
0.9529,0.5076
0.9567,0.5960
0.9567,0.5950
0.9749,0.7821
0.9748,0.7815
1.0249,1.0570
1.0253,1.0586
