aw,c_m_glucose
0.997,0.0252
0.994,0.0493
0.994,0.0505
0.989,0.0966
0.988,0.0995
0.982,0.1422
0.976,0.1865
0.969,0.2291
0.961,0.2726
0.951,0.2789
0.939,0.3458
0.922,0.3994
