phi,m_dl_alanine
1.0039,0.2070
1.0039,0.2076
1.0043,0.3364
1.0043,0.3362
1.0041,0.5119
1.0041,0.5129
1.0063,0.7166
1.0063,0.7159
1.0097,0.8218
1.0097,0.8221
1.0245,1.0378
1.0245,1.0376
