phi,m_dl_alpha_aminobutyric_acid
1.0072,0.2054
1.0073,0.2060
1.0133,0.3335
1.0133,0.3334
1.0187,0.5083
1.0187,0.5087
1.0248,0.7146
1.0249,0.7157
1.0290,0.8091
1.0290,0.8092
1.0457,1.0309
1.0456,1.0304
