aw,c_m_sucrose
0.998,0.0261
0.998,0.0492
0.997,0.0502
0.995,0.0965
0.994,0.1023
0.991,0.1422
0.989,0.1863
0.985,0.2287
0.980,0.2700
0.974,0.2927
0.967,0.3494
0.958,0.3998
0.948,0.4455
