aw,c_m_sucrose
0.996,0.0250
0.992,0.0490
0.994,0.0497
0.981,0.0960
0.976,0.1422
0.971,0.1863
0.964,0.2291
0.958,0.2749
0.952,0.2966
0.941,0.3501
0.926,0.3997
0.909,0.4519
0.889,0.4985
0.836,0.5936
