aw,c_m_sucrose
0.998,0.0261
0.997,0.0492
0.997,0.0502
0.993,0.0965
0.993,0.1023
0.991,0.1422
0.985,0.1863
0.983,0.2287
0.978,0.2700
0.972,0.2927
0.967,0.3494
0.957,0.3998
0.947,0.4455
