aw,c_m_sucrose
0.997,0.0261
0.994,0.0492
0.996,0.0502
0.990,0.0965
0.988,0.1422
0.984,0.1863
0.981,0.2287
0.976,0.2700
0.969,0.2927
0.962,0.3494
0.955,0.3998
0.945,0.4455
