phi,m_dl_alanine
0.9972,0.2238
0.9954,0.2243
0.9972,0.3135
0.9976,0.3134
0.9977,0.5203
0.9983,0.5200
0.9982,0.5762
0.9986,0.5759
0.9991,0.7609
0.9998,0.7604
1.0029,1.0562
1.0034,1.0557
