phi,m_glycine
0.9705,0.2074
0.9705,0.2076
0.9556,0.3572
0.9555,0.3577
0.9428,0.5277
0.9428,0.5284
0.9282,0.8498
0.9282,0.8508
0.9240,1.0269
0.9240,1.0276
0.9202,1.2981
0.9202,1.2987
