aw,lactose
0.999500352,0.000502360
0.997901627,0.002076386
0.996240491,0.003677652
0.995250398,0.004612030
0.993276464,0.006425746
0.991262101,0.008264758
0.988964288,0.010370518
0.987786698,0.011456139
