aw,mannitol
0.998052917,0.003883258
0.997300913,0.005378945
0.996517939,0.006932331
0.995355840,0.009215315
0.995278685,0.009365609
0.993838450,0.012182665
0.993158013,0.013502803
0.992993585,0.013835790
0.992062303,0.015603858
0.991779063,0.016163908
0.990750420,0.018154676
0.990497920,0.018642435
0.990023945,0.019540309
0.988832783,0.021808852
0.988448266,0.022551228
