aw,1_2_3_propanetriol
0.999053676,0.000959171
0.998174882,0.001827126
0.997329447,0.002660457
0.996317141,0.003657305
0.995372138,0.004586224
0.994571829,0.005370859
0.993552095,0.006370437
0.992710848,0.007193116
0.991847806,0.008036146
0.990928471,0.008932811
