aw,mannose
0.997985629,0.002027945
0.995922530,0.004122727
0.993776507,0.006324367
0.991577354,0.008569418
0.989325909,0.010864278
0.986617374,0.013609733
0.983661787,0.016608353
0.980583045,0.019725573
0.977382036,0.022953809
0.968406460,0.031898010
0.956277928,0.043816329
0.937144269,0.061838229
