aw,raffinose
0.999381549,0.000617525
0.998047741,0.001904132
0.996569563,0.003298398
0.994921300,0.004781566
0.993058825,0.006409740
0.990990650,0.008068047
0.990079322,0.008753540
0.987103550,0.011054596
