aw,fructose,glucose,sucrose
0.986000000,0.006239487,0.001472048,0.001194258
0.974000000,0.012495490,0.002947992,0.002391677
0.957000000,0.018183352,0.004289898,0.003480352
0.935000000,0.024110366,0.005688226,0.004614801
0.901000000,0.029837905,0.007039493,0.005711070
0.846000000,0.035542519,0.008385351,0.006802952
0.998000000,0.002493683,0.000000000,0.000000000
0.995000000,0.004875945,0.000000000,0.000000000
0.994000000,0.004945257,0.000000000,0.000000000
0.989000000,0.009508403,0.000000000,0.000000000
0.989000000,0.009822236,0.000000000,0.000000000
0.985000000,0.014020166,0.000000000,0.000000000
0.978000000,0.018288673,0.000000000,0.000000000
0.971000000,0.022396158,0.000000000,0.000000000
0.965000000,0.026753651,0.000000000,0.000000000
0.954000000,0.028804693,0.000000000,0.000000000
0.942000000,0.033824672,0.000000000,0.000000000
0.930000000,0.038432570,0.000000000,0.000000000
0.912000000,0.043234780,0.000000000,0.000000000
0.891000000,0.047481467,0.000000000,0.000000000
0.837000000,0.056032070,0.000000000,0.000000000
0.996000000,0.000000000,0.002513582,0.000000000
0.995000000,0.000000000,0.004905652,0.000000000
0.994000000,0.000000000,0.005024459,0.000000000
0.990000000,0.000000000,0.009861452,0.000000000
0.988000000,0.000000000,0.009851648,0.000000000
0.983000000,0.000000000,0.014020166,0.000000000
0.977000000,0.000000000,0.018307947,0.000000000
0.970000000,0.000000000,0.022396158,0.000000000
0.962000000,0.000000000,0.026535752,0.000000000
0.952000000,0.000000000,0.027132374,0.000000000
0.941000000,0.000000000,0.033423115,0.000000000
0.924000000,0.000000000,0.038404832,0.000000000
0.998000000,0.000000000,0.000000000,0.001371740
0.998000000,0.000000000,0.000000000,0.002582673
0.997000000,0.000000000,0.000000000,0.002635028
0.995000000,0.000000000,0.000000000,0.005053062
0.994000000,0.000000000,0.000000000,0.005355143
0.991000000,0.000000000,0.000000000,0.007428290
0.989000000,0.000000000,0.000000000,0.009709632
0.985000000,0.000000000,0.000000000,0.011893165
0.980000000,0.000000000,0.000000000,0.014010811
0.974000000,0.000000000,0.000000000,0.015170887
0.967000000,0.000000000,0.000000000,0.018056630
0.958000000,0.000000000,0.000000000,0.020607575
0.948000000,0.000000000,0.000000000,0.022909204
