aw,glucose,fructose
0.965191780,0.024000000,0.024000000
0.948442231,0.033000000,0.033000000
0.900120424,0.055000000,0.055000000
0.884632635,0.109000000,0.109000000
0.869443583,0.159000000,0.159000000
0.839936356,0.219000000,0.219000000
0.811549529,0.272000000,0.272000000
0.757951368,0.322000000,0.327000000
0.599397747,0.387000000,0.387000000
0.508954998,0.419000000,0.419000000
0.992686646,0.045000000,0.000000000
0.985731378,0.055000000,0.000000000
0.978830794,0.105000000,0.000000000
0.975400860,0.120000000,0.000000000
0.955102559,0.210000000,0.000000000
0.951765851,0.250000000,0.000000000
0.945131642,0.335000000,0.000000000
0.938549329,0.410000000,0.000000000
0.900120424,0.450000000,0.000000000
0.869443583,0.555000000,0.000000000
0.811549529,0.640000000,0.000000000
0.765731379,0.815000000,0.000000000
0.640525113,0.875000000,0.000000000
0.996184936,0.000000000,0.045000000
0.989202147,0.000000000,0.060000000
0.985731378,0.000000000,0.095000000
0.978830794,0.000000000,0.115000000
0.961815466,0.000000000,0.205000000
0.958452412,0.000000000,0.255000000
0.955102559,0.000000000,0.340000000
0.915913474,0.000000000,0.460000000
0.842835867,0.000000000,0.585000000
0.747715823,0.000000000,0.680000000
0.477156688,0.000000000,0.820000000
0.370461995,0.000000000,0.870000000
