aw,glucose
0.887000000,0.083407170
0.879000000,0.090244718
0.870000000,0.096899461
0.855000000,0.103296772
0.845000000,0.109524802
0.822000000,0.121339038
0.803000000,0.141258304
0.763000000,0.159941762
0.737000000,0.176543248
0.721000000,0.191522048
