aw,d_fructose
0.996184936,0.004689787
0.989202147,0.006342285
0.985731378,0.010387848
0.978830794,0.012827241
0.961815466,0.025137136
0.958452412,0.033094327
0.955102559,0.048989803
0.915913474,0.078495884
0.842835867,0.123544440
0.747715823,0.175252918
0.477156688,0.312969938
0.370461995,0.400913660
