aw,l_arginine
0.998000000,0.002677081
0.997000000,0.004023993
0.996000000,0.005413338
0.995000000,0.006522918
0.994000000,0.008374595
0.992000000,0.009831148
0.992000000,0.011434748
0.990000000,0.012964694
0.989000000,0.014414124
