aw,xylitol
0.998804422,0.001192955
0.997601155,0.002393824
0.996352299,0.003641885
0.995116264,0.004872557
0.993777505,0.006205175
0.992464715,0.007507612
0.991121027,0.008838497
0.989886504,0.010063434
0.988642790,0.011297674
0.986950895,0.012973065
0.985832442,0.014066996
0.984072723,0.015794102
0.982119883,0.017694245
0.979576696,0.020173725
0.976829619,0.022838574
0.973707657,0.025868619
0.963857485,0.035236212
0.952902271,0.045503239
0.941759463,0.055944353
0.922980849,0.073638327
