aw,glycine
0.998096464,0.001809008
0.997402136,0.002668056
0.995824118,0.004495998
0.995445394,0.005394984
0.994593264,0.006281675
0.993457091,0.007196972
0.992573401,0.008029050
0.990679779,0.009144573
0.983862741,0.017654262
0.976635418,0.026447788
0.968177241,0.034087943
0.964011273,0.041559473
0.953911957,0.056096856
