aw,sucrose,tris_hydroxymethyl_aminomethane
0.973347571,0.034832892,0.010975524
0.973347571,0.009916864,0.042278147
0.973071582,0.028333982,0.020287282
0.973071582,0.014412697,0.037437485
0.973071582,0.005055572,0.047813802
0.970145458,0.043012282,0.005558431
0.970145458,0.034017404,0.018085353
0.970145458,0.023979125,0.031187501
