aw,sucrose
0.998000000,0.001371740
0.998000000,0.002582673
0.997000000,0.002635028
0.995000000,0.005053062
0.994000000,0.005355143
0.991000000,0.007428290
0.989000000,0.009709632
0.985000000,0.011893165
0.980000000,0.014010811
0.974000000,0.015170887
0.967000000,0.018056630
0.958000000,0.020607575
0.948000000,0.022909204
