aw,sucrose,sorbitol
0.971939409,0.039770167,0.005573843
0.971939409,0.029058242,0.018181569
0.971939409,0.015380954,0.034266451
0.971820920,0.035529210,0.010690722
0.971820920,0.021736373,0.026922391
0.971820920,0.007870718,0.043164152
