aw,xylose
0.998794496,0.001209129
0.997590722,0.002435058
0.996352710,0.003693746
0.995074926,0.004990285
0.994042763,0.006037903
0.992536651,0.007575040
0.991184490,0.008946441
0.989812052,0.010342289
0.988494503,0.011676145
0.987049980,0.013143275
0.985718586,0.014487093
0.984168672,0.016057530
0.982162371,0.018090415
0.979714471,0.020554072
0.977303832,0.022991641
0.971279136,0.029061683
0.965706748,0.034568399
0.959718347,0.040416263
0.953169241,0.046744058
0.948385020,0.051245721
