aw,maltose
0.999000000,0.001188019
0.998000000,0.002415121
0.995000000,0.004766478
0.995000000,0.005053106
0.992000000,0.007329829
0.988000000,0.009859371
0.984000000,0.012350385
0.980000000,0.014593872
0.974000000,0.016974700
0.967000000,0.019075727
