aw,glucose
0.997000000,0.002513582
0.994000000,0.004905652
0.994000000,0.005024459
0.989000000,0.009567262
0.988000000,0.009851648
0.982000000,0.014020166
0.976000000,0.018307947
0.969000000,0.022396158
0.961000000,0.026535752
0.951000000,0.027132374
0.939000000,0.033423115
0.922000000,0.038404832
