aw,dl_alpha_aminobutyric_acid
0.996203792,0.003936881
0.996208963,0.003931519
0.994765305,0.005469826
0.994761894,0.005473390
0.991352486,0.009072052
0.991363507,0.009061438
0.989834869,0.010622750
0.989851748,0.010605115
0.986452755,0.013893601
0.986464385,0.013883091
0.980853400,0.018685806
0.980817555,0.018713562
