aw,1_2_ethanediol
0.997871931,0.002128707
0.996850108,0.003139548
0.996384199,0.003599990
0.995468933,0.004501871
0.994530809,0.005426440
0.993709844,0.006234225
0.992824054,0.007103048
0.991783025,0.008124734
0.990952720,0.008936965
