aw,glucose
0.992686646,0.045000000
0.985731378,0.055000000
0.978830794,0.105000000
0.975400860,0.120000000
0.955102559,0.210000000
0.951765851,0.250000000
0.945131642,0.335000000
0.938549329,0.410000000
0.900120424,0.450000000
0.869443583,0.555000000
0.811549529,0.640000000
0.765731379,0.815000000
0.640525113,0.875000000
