aw,fructose
0.997000000,0.002493683
0.994000000,0.004875945
0.994000000,0.004945257
0.987000000,0.009508403
0.988000000,0.009822236
0.982000000,0.014020166
0.975000000,0.018288673
0.969000000,0.022396158
0.963000000,0.026753651
0.953000000,0.028804693
0.942000000,0.033824672
0.928000000,0.038432570
0.910000000,0.043234780
0.890000000,0.047481467
0.836000000,0.056032070
