aw,maltitol
0.999479343,0.000525755
0.997871325,0.002133791
0.996024775,0.003929731
0.994114860,0.005777986
0.992134682,0.007654876
0.990567816,0.009151647
0.989100768,0.010561027
0.985580726,0.013751688
0.982806054,0.016230164
0.980133936,0.018638965
0.976007336,0.022206878
0.961660227,0.033394976
0.944920142,0.045478619
0.923330005,0.060766750
