aw,arabinose
0.999402685,0.000597733
0.998794134,0.001209129
0.997589533,0.002418923
0.996301559,0.003716992
0.995063582,0.004958180
0.993880026,0.006150017
0.992618985,0.007422427
0.991204620,0.008842036
0.989738274,0.010314057
0.988493867,0.011570554
0.985511110,0.014564072
0.984037017,0.016050553
0.981690424,0.018409898
0.979351927,0.020763138
0.977029047,0.023103402
0.971116997,0.029026017
0.958462372,0.041476723
0.943483672,0.055656872
