aw,dl_alpha_aminobutyric_acid
0.995995414,0.003977987
0.995995392,0.003981562
0.994378596,0.005564254
0.994378750,0.005569598
0.990734882,0.009112736
0.990734025,0.009118042
0.989784931,0.010051076
0.989785137,0.010052841
0.986488431,0.013204676
0.986488162,0.013215201
0.981269831,0.018093889
0.981269871,0.018083467
