aw,l_proline
0.992000000,0.008236377
0.983000000,0.016363487
0.972000000,0.026932372
0.959000000,0.037690814
0.944000000,0.049597103
0.927000000,0.061229229
0.901000000,0.077612802
0.886000000,0.087476213
