aw,sucrose
0.980145950,0.020054000
0.967009646,0.030480000
0.953873342,0.040170000
0.937183256,0.050040000
0.920144137,0.060080000
0.902153113,0.069670000
0.881369830,0.079550000
0.860935580,0.089420000
0.796935762,0.119540000
