aw,serine
0.998917034,0.000977246
0.997970223,0.002721810
0.996581567,0.004490642
0.995098230,0.006544884
0.993804255,0.007180991
0.993362410,0.008333854
0.991531909,0.008946441
0.988438993,0.016036600
0.979728333,0.026379486
0.973005976,0.034843690
0.965904895,0.043194981
0.946211228,0.067090182
