aw,galactose
0.998995885,0.001004215
0.997932521,0.002065622
0.996887350,0.003101502
0.995851420,0.004137020
0.994818941,0.005157909
0.993612867,0.006351048
0.992629301,0.007328352
0.991319019,0.008624308
0.990064699,0.009856839
0.988911421,0.010999975
0.987759233,0.012133443
0.985926601,0.013939145
0.983940644,0.015881346
0.981931809,0.017857617
0.979654299,0.020087241
0.976612697,0.023027752
0.966957603,0.032255815
0.953123629,0.044903802
