aw,dl_alpha_aminobutyric_acid
0.996286913,0.003686593
0.996275738,0.003697322
0.993948766,0.005972047
0.993950569,0.005970267
0.990757286,0.009073821
0.990750079,0.009080896
0.986977121,0.012709739
0.986956068,0.012729055
0.985220118,0.014366352
0.985218318,0.014368102
0.980941931,0.018232819
0.980952806,0.018224137
