aw,d_glucose
0.992686646,0.004689787
0.985731378,0.005786237
0.978830794,0.011595422
0.975400860,0.013452473
0.955102559,0.025893118
0.951765851,0.032257025
0.945131642,0.047958393
0.938549329,0.064974205
0.900120424,0.075627924
0.869443583,0.110885827
0.811549529,0.150939128
0.765731379,0.305809065
