aw,alanine
0.997907102,0.001821572
0.997023412,0.002703892
0.996076601,0.003602540
0.995319153,0.004499569
0.994119859,0.006269222
0.992952125,0.007188094
0.992226237,0.008050321
0.990648219,0.008953518
0.984430827,0.015947640
0.980769825,0.020192749
0.978813083,0.022298154
0.977045703,0.024377384
