aw,valine
0.999091599,0.001797699
0.999077298,0.001826957
0.997236890,0.005446662
0.997194208,0.005533968
0.996462134,0.006921672
0.996426025,0.006992732
0.996005846,0.007798550
0.995211379,0.009273670
0.995277044,0.009146341
0.994406817,0.010751462
0.994462655,0.010652727
