aw,fructose,glucose,sucrose
0.983000000,0.006239487,0.001472048,0.001194258
0.968000000,0.012495490,0.002947992,0.002391677
0.953000000,0.018183352,0.004289898,0.003480352
0.931000000,0.024110366,0.005688226,0.004614801
0.897000000,0.029837905,0.007039493,0.005711070
0.840000000,0.035542519,0.008385351,0.006802952
0.996000000,0.002493683,0.000000000,0.000000000
0.992000000,0.004875945,0.000000000,0.000000000
0.994000000,0.004945257,0.000000000,0.000000000
0.981000000,0.009508403,0.000000000,0.000000000
0.976000000,0.014020166,0.000000000,0.000000000
0.971000000,0.018288673,0.000000000,0.000000000
0.964000000,0.022396158,0.000000000,0.000000000
0.958000000,0.026753651,0.000000000,0.000000000
0.952000000,0.028804693,0.000000000,0.000000000
0.941000000,0.033824672,0.000000000,0.000000000
0.926000000,0.038432570,0.000000000,0.000000000
0.909000000,0.043234780,0.000000000,0.000000000
0.889000000,0.047481467,0.000000000,0.000000000
0.836000000,0.056032070,0.000000000,0.000000000
0.996000000,0.000000000,0.002513582,0.000000000
0.993000000,0.000000000,0.004905652,0.000000000
0.994000000,0.000000000,0.005024459,0.000000000
0.983000000,0.000000000,0.009567262,0.000000000
0.977000000,0.000000000,0.014020166,0.000000000
0.972000000,0.000000000,0.018307947,0.000000000
0.965000000,0.000000000,0.022396158,0.000000000
0.958000000,0.000000000,0.026535752,0.000000000
0.949000000,0.000000000,0.027132374,0.000000000
0.937000000,0.000000000,0.033423115,0.000000000
0.921000000,0.000000000,0.038404832,0.000000000
0.997000000,0.000000000,0.000000000,0.001371740
0.994000000,0.000000000,0.000000000,0.002582673
0.996000000,0.000000000,0.000000000,0.002635028
0.990000000,0.000000000,0.000000000,0.005053062
0.988000000,0.000000000,0.000000000,0.007428290
0.984000000,0.000000000,0.000000000,0.009709632
0.981000000,0.000000000,0.000000000,0.011893165
0.976000000,0.000000000,0.000000000,0.014010811
0.969000000,0.000000000,0.000000000,0.015170887
0.962000000,0.000000000,0.000000000,0.018056630
0.955000000,0.000000000,0.000000000,0.020607575
0.945000000,0.000000000,0.000000000,0.022909204
