aw,1_2_3_4_butanetetrol
0.999101057,0.000913275
0.998244108,0.001760113
0.997319730,0.002671466
0.996276415,0.003699216
0.995326060,0.004633263
0.994529548,0.005414833
0.993482416,0.006441185
0.992767642,0.007141281
0.991525151,0.008355047
0.990906304,0.008957275
