aw,d_mannitol
0.999100597,0.000906287
0.998167949,0.001829492
0.997232129,0.002754394
0.996383400,0.003592218
0.995424534,0.004536541
0.994484639,0.005460903
0.993564133,0.006366066
0.992913162,0.007003789
0.991837377,0.008057502
0.990864187,0.009008479
