aw,sucrose,urea
0.977117379,0.007689593,0.041220192
0.977090626,0.032731098,0.008379700
0.977090626,0.023765682,0.021858995
0.977090626,0.010763575,0.038279815
0.976625678,0.028077185,0.016744444
0.976625678,0.020832476,0.027232443
0.976625678,0.009301260,0.041245048
0.976069020,0.036686975,0.004150439
0.976069020,0.024024354,0.023954037
0.976069020,0.015514216,0.035197707
0.975978945,0.031288405,0.013260308
0.975978945,0.019826794,0.029918224
0.975978945,0.005498840,0.046548880
