aw,ribose
0.999391958,0.000608529
0.998805372,0.001209129
0.997610785,0.002431472
0.996414909,0.003663346
0.995115997,0.004999202
0.993879947,0.006274559
0.992608762,0.007583911
0.991318690,0.008909282
0.989929368,0.010342289
0.988666938,0.011640950
0.987598819,0.012743102
0.987150340,0.013201168
0.985681639,0.014712747
0.984377922,0.016048809
0.982125976,0.018356087
0.979680539,0.020866774
0.975132839,0.025509496
0.966191278,0.034576795
0.955980061,0.044644086
0.944737113,0.055565291
