aw,histidine
0.999920291,0.000090066
0.999808472,0.000199924
0.999679896,0.000322360
0.999471919,0.000527554
0.999221193,0.000765042
0.998776984,0.001214520
0.997959140,0.002065622
0.997086807,0.002927811
0.996596716,0.003427234
0.995940065,0.004163819
0.995923155,0.004113794
