aw,dl_alanine
0.996270334,0.003715204
0.996259564,0.003725932
0.993950512,0.006023665
0.993954087,0.006020105
0.990825211,0.009137498
0.990807452,0.009155185
0.987175367,0.012744857
0.987187735,0.012732566
0.985270975,0.014588563
0.985265677,0.014593811
0.981201999,0.018352615
0.981205554,0.018349143
