aw,maltose
0.998000000,0.001188019
0.997000000,0.002415121
0.994000000,0.005053106
0.991000000,0.007329829
0.988000000,0.009859371
0.983000000,0.012350385
0.978000000,0.014593872
0.973000000,0.016974700
0.966000000,0.019075727
