aw,arginine
0.998235898,0.001798238
0.996546165,0.003590020
0.994914150,0.005375381
0.993344780,0.007154355
0.991846495,0.008926977
0.990392176,0.010693281
0.988958508,0.012453300
0.987515326,0.014207068
0.986073281,0.015954618
0.984621826,0.017695983
0.981795975,0.021160289
0.979002072,0.024600246
