aw,lactamide
0.998179378,0.003659769
0.997144962,0.005760179
0.997121980,0.005808258
0.995500294,0.009100354
0.993448980,0.013267824
0.988897386,0.022714709
0.986363129,0.028031427
0.986071149,0.028623326
0.984476342,0.032033062
0.979963659,0.041590914
0.978482002,0.044757524
0.975192024,0.051751382
0.967288682,0.068686665
0.963627558,0.067317467
0.962614020,0.078783815
