aw,glycine
0.999899995,0.000102674
0.998560933,0.001446293
0.997584013,0.002406373
0.996508384,0.003584654
0.994830693,0.005339736
0.992480969,0.007766626
0.987422141,0.013532605
0.985024880,0.016041833
0.982618100,0.018658049
0.978086738,0.023821499
0.967681522,0.035457493
0.959603457,0.044734510
0.955554804,0.049100405
0.951104934,0.053713803
