aw,maltose
0.997000000,0.001188019
0.996000000,0.002415121
0.993000000,0.004766478
0.990000000,0.007329829
0.987000000,0.009859371
0.982000000,0.012350385
0.978000000,0.014593872
0.972000000,0.016974700
0.965000000,0.019075727
