aw,ribose
0.998805372,0.001209129
0.996414909,0.003663346
0.993879947,0.006274559
0.991318690,0.008909282
0.988666938,0.011640950
0.987150340,0.013201168
0.984377922,0.016048809
0.979680539,0.020866774
0.966191278,0.034576795
0.944737113,0.055565291
