aw,glycine
0.997144962,0.005859893
0.997097357,0.005957806
0.993448980,0.013781476
0.990737220,0.019732497
0.986071149,0.030230397
0.982955444,0.037247475
0.981045408,0.041541269
0.978067458,0.048172649
0.975855857,0.053116562
