aw,galactose
0.997932521,0.002065622
0.995851420,0.004137020
0.993612867,0.006351048
0.991319019,0.008624308
0.988911421,0.010999975
0.985926601,0.013939145
0.981931809,0.017857617
0.976612697,0.023027752
0.953123629,0.044903802
